Period,Month, Arrivals 
1,January,1291718
2,February,1221365
3,March,1368891
4,April,1274246
5,May,1288282
6,June,1288950
7,July,1419657
8,August,1483520
9,September,1176142
10,October,1203746
11,November,1184002
12,December,1367404
13,January,1345842
14,February,1238239
15,March,1297551
16,April,1245307
17,May,1208532
18,June,1181422
19,July,1408400
20,August,1362935
21,September,1098626
22,October,1203527
23,November,1144230
24,December,1360541
25,January,1252608
26,February,1188818
27,March,1201648
28,April,1208624
29,May,1222836
30,June,1184747
31,July,1519747
32,August,1445062
33,September,1131976
34,October,1246947
35,November,1203992
36,December,1424978
37,January,1412123
38,February,1335099
39,March,1406607
40,April,1393975
41,May,1357546
42,June,1270542
43,July,1622417
44,August,1481908
45,September,1144143
46,October,1237675
47,November,1235428
48,December,1506132